Séance,Instrument,Ticker,Ouverture,Dernier_Cours,haut_du_jour,bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
09/01/2026,REBAB COMPANY,REB,106.6,106.6,106.6,106.6,1,106.6,1,18810209.6
08/01/2026,REBAB COMPANY,REB,100.6,100.6,100.6,100.6,40,4024.0,3,17751473.6
07/01/2026,REBAB COMPANY,REB,107.0,107.0,107.0,107.0,4,428.0,1,18880792.0
06/01/2026,REBAB COMPANY,REB,107.0,107.0,107.0,107.0,13,1391.0,4,18880792.0
17/03/2026,REBAB COMPANY,REB,-,107.25,-,-,-,-,-,18924906.0
16/03/2026,REBAB COMPANY,REB,107.25,107.25,107.25,107.25,40,4290.0,2,18924906.0
13/03/2026,REBAB COMPANY,REB,-,101.2,-,-,-,-,-,17857347.2
12/03/2026,REBAB COMPANY,REB,101.2,101.2,101.2,101.2,7,708.4,1,17857347.2
11/03/2026,REBAB COMPANY,REB,-,95.51,-,-,-,-,-,16853312.56
10/03/2026,REBAB COMPANY,REB,95.51,95.51,95.51,95.51,16,1528.16,4,16853312.56
09/03/2026,REBAB COMPANY,REB,-,101.6,-,-,-,-,-,17927929.6
06/03/2026,REBAB COMPANY,REB,-,101.6,-,-,-,-,-,17927929.6
05/03/2026,REBAB COMPANY,REB,101.6,101.6,101.6,101.6,2,203.2,2,17927929.6
04/03/2026,REBAB COMPANY,REB,95.89,95.89,95.89,95.89,4,383.56,3,16920365.84
03/03/2026,REBAB COMPANY,REB,102.0,102.0,102.0,102.0,3,306.0,1,17998512.0
02/03/2026,REBAB COMPANY,REB,-,102.0,-,-,-,-,-,17998512.0
27/02/2026,REBAB COMPANY,REB,102.0,102.0,102.0,102.0,4,408.0,1,17998512.0
26/02/2026,REBAB COMPANY,REB,102.0,102.0,102.0,102.0,14,1428.0,2,17998512.0
25/02/2026,REBAB COMPANY,REB,-,106.0,-,-,-,-,-,18704336.0
24/02/2026,REBAB COMPANY,REB,106.0,106.0,106.0,106.0,22,2332.0,1,18704336.0
23/02/2026,REBAB COMPANY,REB,-,106.0,-,-,-,-,-,18704336.0
20/02/2026,REBAB COMPANY,REB,-,106.0,-,-,-,-,-,18704336.0
19/02/2026,REBAB COMPANY,REB,-,106.0,-,-,-,-,-,18704336.0
18/02/2026,REBAB COMPANY,REB,106.0,106.0,106.0,106.0,30,3180.0,1,18704336.0
17/02/2026,REBAB COMPANY,REB,106.0,106.0,106.0,106.0,9,954.0,4,18704336.0
16/02/2026,REBAB COMPANY,REB,102.0,102.0,102.0,102.0,6,612.0,1,17998512.0
13/02/2026,REBAB COMPANY,REB,106.0,106.0,106.0,106.0,3,318.0,2,18704336.0
12/02/2026,REBAB COMPANY,REB,106.0,106.0,106.0,106.0,2,212.0,1,18704336.0
11/02/2026,REBAB COMPANY,REB,105.0,105.0,105.0,105.0,10,1050.0,2,18527880.0
10/02/2026,REBAB COMPANY,REB,101.0,101.0,101.0,101.0,10,1010.0,2,17822056.0
09/02/2026,REBAB COMPANY,REB,101.0,101.0,101.0,101.0,6,606.0,4,17822056.0
06/02/2026,REBAB COMPANY,REB,107.0,107.0,107.0,107.0,8,856.0,3,18880792.0
05/02/2026,REBAB COMPANY,REB,106.7,106.7,106.7,106.7,23,2454.1,1,18827855.2
04/02/2026,REBAB COMPANY,REB,-,100.7,-,-,-,-,-,17769119.2
03/02/2026,REBAB COMPANY,REB,100.7,100.7,100.7,100.7,8,805.6,3,17769119.2
02/02/2026,REBAB COMPANY,REB,100.7,100.7,100.7,100.7,7,704.9,3,17769119.2
30/01/2026,REBAB COMPANY,REB,-,107.1,-,-,-,-,-,18898437.6
29/01/2026,REBAB COMPANY,REB,107.1,107.1,107.1,107.1,10,1071.0,1,18898437.6
28/01/2026,REBAB COMPANY,REB,-,105.0,-,-,-,-,-,18527880.0
27/01/2026,REBAB COMPANY,REB,105.0,105.0,105.0,105.0,66,6930.0,2,18527880.0
26/01/2026,REBAB COMPANY,REB,-,105.0,-,-,-,-,-,18527880.0
23/01/2026,REBAB COMPANY,REB,105.0,105.0,105.0,105.0,20,2100.0,2,18527880.0
22/01/2026,REBAB COMPANY,REB,104.0,104.0,104.0,104.0,66,6864.0,5,18351424.0
21/01/2026,REBAB COMPANY,REB,110.0,110.0,110.0,110.0,1,110.0,1,19410160.0
20/01/2026,REBAB COMPANY,REB,112.0,112.0,112.0,112.0,8,896.0,1,19763072.0
19/01/2026,REBAB COMPANY,REB,112.0,112.0,112.0,112.0,32,3584.0,4,19763072.0
16/01/2026,REBAB COMPANY,REB,113.0,113.0,113.0,113.0,193,21809.0,9,19939528.0
15/01/2026,REBAB COMPANY,REB,113.0,113.0,113.0,113.0,145,16385.0,10,19939528.0
13/01/2026,REBAB COMPANY,REB,113.2,113.2,113.2,113.2,142,16074.4,10,19974819.2
12/01/2026,REBAB COMPANY,REB,112.9,112.9,112.9,112.9,86,9709.4,4,19921882.4
09/01/2026,REBAB COMPANY,REB,106.6,106.6,106.6,106.6,1,106.6,1,18810209.6
08/01/2026,REBAB COMPANY,REB,100.6,100.6,100.6,100.6,40,4024.0,3,17751473.6
07/01/2026,REBAB COMPANY,REB,107.0,107.0,107.0,107.0,4,428.0,1,18880792.0
06/01/2026,REBAB COMPANY,REB,107.0,107.0,107.0,107.0,13,1391.0,4,18880792.0
17/03/2026,REBAB COMPANY,REB,-,107.25,-,-,-,-,-,18924906.0
16/03/2026,REBAB COMPANY,REB,107.25,107.25,107.25,107.25,40,4290.0,2,18924906.0
13/03/2026,REBAB COMPANY,REB,-,101.2,-,-,-,-,-,17857347.2
12/03/2026,REBAB COMPANY,REB,101.2,101.2,101.2,101.2,7,708.4,1,17857347.2
11/03/2026,REBAB COMPANY,REB,-,95.51,-,-,-,-,-,16853312.56
10/03/2026,REBAB COMPANY,REB,95.51,95.51,95.51,95.51,16,1528.16,4,16853312.56
09/03/2026,REBAB COMPANY,REB,-,101.6,-,-,-,-,-,17927929.6
06/03/2026,REBAB COMPANY,REB,-,101.6,-,-,-,-,-,17927929.6
05/03/2026,REBAB COMPANY,REB,101.6,101.6,101.6,101.6,2,203.2,2,17927929.6
